**03/02/2025, 10**: 23 pm - Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
**04/02/2025, 10**: 40 pm - Vinay India: Hello bhai
**04/02/2025, 10**: 40 pm - Vinay India: Vinay this side
**04/02/2025, 10**: 40 pm - warishayat69: yes
**04/02/2025, 10**: 40 pm - warishayat69: waris here
**04/02/2025, 10**: 40 pm - Vinay India: Make a group
**04/02/2025, 10**: 40 pm - warishayat69: we are in the same group?
**04/02/2025, 10**: 40 pm - warishayat69: who is the third one?
**04/02/2025, 10**: 40 pm - Vinay India: Then we will discuss the project and divide our work
**04/02/2025, 10**: 40 pm - Vinay India: Accordingly
**04/02/2025, 10**: 40 pm - Vinay India: Yes
**04/02/2025, 10**: 40 pm - warishayat69: ok sure who is third one <This message was edited>
**04/02/2025, 10**: 41 pm - Vinay India: Fahad
**04/02/2025, 10**: 41 pm - Vinay India: What's ur tech stack brother?
**04/02/2025, 10**: 42 pm - warishayat69: machine learning and little bit backend
**04/02/2025, 10**: 42 pm - warishayat69: with fastapi
**04/02/2025, 10**: 42 pm - Vinay India: Nice nice
**04/02/2025, 10**: 42 pm - Vinay India: Mine is machine learning and some sort of deep learning (mainly object and pose detection)
**04/02/2025, 10**: 42 pm - warishayat69: like how to make endpoints and handle the data
**04/02/2025, 10**: 43 pm - Vinay India: Sath sath sikhte rhege bhai
**04/02/2025, 10**: 43 pm - warishayat69: have you done any other internship before this one?
**04/02/2025, 10**: 43 pm - warishayat69: i am completely new
**04/02/2025, 10**: 43 pm - warishayat69: 🥲
**04/02/2025, 10**: 43 pm - Vinay India: Me too
**04/02/2025, 10**: 44 pm - Vinay India: Summer internship I did which is mainly in object detection
**04/02/2025, 10**: 44 pm - warishayat69: i was completely confuse wile writing the purposal
**04/02/2025, 10**: 44 pm - Vinay India: Same
**04/02/2025, 10**: 44 pm - warishayat69: 🤣
**04/02/2025, 10**: 44 pm - Vinay India: In which year you r?
**04/02/2025, 10**: 44 pm - Vinay India: Graduation
**04/02/2025, 10**: 44 pm - warishayat69: im in my 4th year and 7 semester
**04/02/2025, 10**: 45 pm - warishayat69: software engineering
**04/02/2025, 10**: 45 pm - warishayat69: what about you?
**04/02/2025, 10**: 45 pm - Vinay India: same I'm also in 4th year in 8th sem
**04/02/2025, 10**: 45 pm - warishayat69: nice which institute?
**04/02/2025, 10**: 45 pm - Vinay India: Thapar Institute of Engineering and Technology
**04/02/2025, 10**: 46 pm - warishayat69: got it
**04/02/2025, 10**: 46 pm - Vinay India: Make a whatsapp group with fahad
**04/02/2025, 10**: 46 pm - warishayat69: let me contact him.
**04/02/2025, 10**: 46 pm - Vinay India: Then we will discuss tomorrow and make proper strategy to learn and apply
**04/02/2025, 10**: 46 pm - warishayat69: okay done
**04/02/2025, 10**: 47 pm - warishayat69: i am totally confused about frontend
**04/02/2025, 10**: 47 pm - Vinay India: DSA vgera krte bhai ?
**04/02/2025, 10**: 47 pm - Vinay India: Placement hogyi ?
**04/02/2025, 10**: 47 pm - warishayat69: yes abhi start kia bus sth sth
**04/02/2025, 10**: 47 pm - Vinay India: nice nice
**04/02/2025, 10**: 48 pm - warishayat69: yar pakistan m koi placement ka chakar e nai hae bahut mahool kahrab hae idr
**04/02/2025, 10**: 48 pm - Vinay India: oh toh job?
**04/02/2025, 10**: 48 pm - warishayat69: but dsa mena phly kia hua h kch advance topic rehty thy
**04/02/2025, 10**: 48 pm - Vinay India: leetcode?
**04/02/2025, 10**: 48 pm - Vinay India: dp graphs>
**04/02/2025, 10**: 48 pm - Vinay India: ?
**04/02/2025, 10**: 49 pm - warishayat69: yahn pr referance se jon mlti  buss no ask you dsa like stuff in the interview.
**04/02/2025, 10**: 49 pm - warishayat69: job*
**04/02/2025, 10**: 49 pm - Vinay India: acha
**04/02/2025, 10**: 49 pm - Vinay India: yeh internship best hain
**04/02/2025, 10**: 49 pm - warishayat69: yes yes dp graph rehty but revise karna start kia h abhi sth leetcode b solve kar ra hu
**04/02/2025, 10**: 49 pm - Vinay India: badhiya project bnvadenge
**04/02/2025, 10**: 50 pm - Vinay India: great
**04/02/2025, 10**: 50 pm - warishayat69: yes
**04/02/2025, 10**: 50 pm - warishayat69: ap btao dsa karru ho ap?
**04/02/2025, 10**: 50 pm - warishayat69: yes
**04/02/2025, 10**: 50 pm - Vinay India: haan dsa revise krra hu
**04/02/2025, 10**: 50 pm - warishayat69: apki placement ka kia scene
**04/02/2025, 10**: 50 pm - Vinay India: firse practice krna shuru kiya
**04/02/2025, 10**: 51 pm - Vinay India: abhi companies aari hain
**04/02/2025, 10**: 51 pm - warishayat69: any tip
**04/02/2025, 10**: 51 pm - Vinay India: but khi ni horaha h
**04/02/2025, 10**: 51 pm - warishayat69: for dsa
**04/02/2025, 10**: 51 pm - warishayat69: acha acha
**04/02/2025, 10**: 51 pm - Vinay India: striver sheet hi follow kro yr
**04/02/2025, 10**: 51 pm - warishayat69: why you not applying in google ?
**04/02/2025, 10**: 51 pm - warishayat69: india m tu office h na google ka
**04/02/2025, 10**: 51 pm - warishayat69: micorsoft ka
**04/02/2025, 10**: 51 pm - Vinay India: bhai uske liye bhut tagdi profile honi chaiye
**04/02/2025, 10**: 51 pm - warishayat69: do you have
**04/02/2025, 10**: 52 pm - warishayat69: striver
**04/02/2025, 10**: 52 pm - Vinay India: google pr daldo
**04/02/2025, 10**: 52 pm - Vinay India: striver a2z sheet
**04/02/2025, 10**: 52 pm - warishayat69: how much total question are there?
**04/02/2025, 10**: 53 pm - Vinay India: 450 a2z
**04/02/2025, 10**: 53 pm - Vinay India: till dp
**04/02/2025, 10**: 53 pm - warishayat69: sure i will check it.
**04/02/2025, 10**: 53 pm - warishayat69: what is your full name?
**04/02/2025, 10**: 54 pm - Vinay India: Vinay Kumar
**04/02/2025, 10**: 54 pm - Vinay India: share me ur linkedin
**04/02/2025, 11**: 04 pm - warishayat69: Let me share
**04/02/2025, 11**: 05 pm - warishayat69: https://www.linkedin.com/in/warishayat?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app
**05/02/2025, 6**: 03 pm - Vinay India: Bhai
**05/02/2025, 6**: 03 pm - Vinay India: Kya dikhana hain
**05/02/2025, 6**: 05 pm - warishayat69: kuch nai
**06/02/2025, 2**: 44 pm - Vinay India: null
**06/02/2025, 3**: 39 pm - Vinay India: null
**06/02/2025, 3**: 43 pm - warishayat69: PTT-20250206-WA0062.opus (file attached)
**06/02/2025, 3**: 43 pm - Vinay India: Haan sir koi na
**06/02/2025, 3**: 44 pm - warishayat69: PTT-20250206-WA0063.opus (file attached)
**06/02/2025, 3**: 44 pm - Vinay India: Okay sir
**06/02/2025, 3**: 44 pm - Vinay India: M bhi krleta hoon apna kaam
**06/02/2025, 3**: 59 pm - warishayat69: Achaa
**06/02/2025, 4**: 30 pm - warishayat69: VID-20250206-WA0069.mp4 (file attached)
- Cursor ai k is feature ka pata h?
**06/02/2025, 4**: 31 pm - Vinay India: vs code jaisa hi hain
**06/02/2025, 4**: 31 pm - Vinay India: but yeh help krdeta hain
**06/02/2025, 4**: 31 pm - Vinay India: jaha kuch issue hota hain
**06/02/2025, 4**: 31 pm - Vinay India: sath mein ai bhi h isme vo bug vgera bhu solve krdta hain
**06/02/2025, 4**: 32 pm - warishayat69: Han je han je
**06/02/2025, 4**: 32 pm - Vinay India: mein bhi issi pr kr raha hu
**06/02/2025, 4**: 32 pm - warishayat69: Han ye best hae
**06/02/2025, 4**: 32 pm - Vinay India: hnji
**06/02/2025, 5**: 04 pm - warishayat69: Done with rag
**06/02/2025, 5**: 04 pm - warishayat69: Let me show you
**06/02/2025, 5**: 04 pm - Vinay India: Sure
**06/02/2025, 5**: 07 pm - warishayat69: IMG-20250206-WA0071.jpg (file attached)
**06/02/2025, 5**: 08 pm - warishayat69: IMG-20250206-WA0072.jpg (file attached)
**06/02/2025, 5**: 14 pm - Vinay India: Nice nice
**06/02/2025, 5**: 14 pm - Vinay India: Sir
**06/02/2025, 5**: 14 pm - Vinay India: 🤌🏻
**06/02/2025, 5**: 14 pm - warishayat69: ab agy kia karna h kuch smj nai ara
**06/02/2025, 5**: 15 pm - Vinay India: Mera nhi hora hain aaj
**06/02/2025, 5**: 15 pm - warishayat69: ku?
**06/02/2025, 5**: 15 pm - Vinay India: Issue aara hain
**06/02/2025, 5**: 15 pm - warishayat69: kidr masla ara hae?
**06/02/2025, 5**: 15 pm - warishayat69: kia?
**06/02/2025, 5**: 15 pm - Vinay India: Ab fir se start krra hoon
**06/02/2025, 5**: 15 pm - Vinay India: Sab files delete kri Hain
**06/02/2025, 5**: 15 pm - warishayat69: agr koi error nai solve hora ho tu btaya karo fr us ka soloution mil kar dhudeingy
**06/02/2025, 5**: 16 pm - Vinay India: Okay
**06/02/2025, 5**: 16 pm - Vinay India: Abhi toh firse krra hoon
**06/02/2025, 5**: 16 pm - warishayat69: acha acha easy ho kar karo
**06/02/2025, 5**: 16 pm - Vinay India: Mongdb se krleta hoon abhi toh
**06/02/2025, 5**: 16 pm - warishayat69: ik do dinu m khtm kar du m yea rag wla sara fr m b appki help karuga
**06/02/2025, 5**: 17 pm - warishayat69: us part m
**06/02/2025, 5**: 17 pm - Vinay India: Jaise video mein krare hain
**06/02/2025, 5**: 17 pm - Vinay India: Itna mein try krta hoon
**06/02/2025, 5**: 17 pm - Vinay India: Hojayega mp yeh
**06/02/2025, 5**: 17 pm - warishayat69: ach acha easy hokar kro 12 din hn abhi 2 din huay haen
**06/02/2025, 5**: 17 pm - Vinay India: Yeh video khtm krdeta hoon
**06/02/2025, 5**: 17 pm - Vinay India: Aaj
**06/02/2025, 5**: 17 pm - warishayat69: han best h try karo wo
**06/02/2025, 5**: 17 pm - Vinay India: Ji sir
**06/02/2025, 5**: 17 pm - warishayat69: m thura ocr dekh lu jab tk
**06/02/2025, 5**: 18 pm - Vinay India: Haan sahi sahi
**06/02/2025, 5**: 18 pm - warishayat69: okay
**06/02/2025, 6**: 24 pm - warishayat69: yar yeh youtube wali kia chz thi smj e nai ai?
**06/02/2025, 6**: 24 pm - Vinay India: null
**06/02/2025, 6**: 24 pm - Vinay India: null
**06/02/2025, 6**: 26 pm - Vinay India: <iframe width="768" height="480" src="https://www.youtube.com/embed/OYkmIIKfWq4" title="Complete Login/Signup MERN Stack | Mongo, Express, React and Node Authentication with Deployment" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>
**06/02/2025, 9**: 18 pm - Vinay India: https://youtu.be/ZVyIIyZJutM?si=MAzI6mv839_b62_7
**06/02/2025, 9**: 18 pm - Vinay India: Mein yaha se bna Raha hu
**06/02/2025, 9**: 19 pm - warishayat69: han thk hae
**06/02/2025, 9**: 20 pm - warishayat69: ocr wla nai hora dont know why
**06/02/2025, 9**: 21 pm - Vinay India: Acha
**06/02/2025, 9**: 21 pm - Vinay India: Sir se puchlena
**06/02/2025, 9**: 21 pm - Vinay India: Yeh sahi h na ?
**06/02/2025, 9**: 24 pm - warishayat69: han best h
**06/02/2025, 10**: 20 pm - Vinay India: Kr rhe ho bhai
**06/02/2025, 10**: 20 pm - Vinay India: ?
**06/02/2025, 10**: 20 pm - Vinay India: Bhai mere mein error hi aare hain
**06/02/2025, 10**: 20 pm - Vinay India: Mene page bnaya tha abhi react mein
**06/02/2025, 10**: 20 pm - Vinay India: Pehle bngya ab gayab hogya
**06/02/2025, 10**: 21 pm - warishayat69: mery m b error aray haen
**06/02/2025, 10**: 21 pm - warishayat69: ni ho par a
**06/02/2025, 10**: 21 pm - warishayat69: ocr m msla ara h kuch
**06/02/2025, 10**: 23 pm - Vinay India: Dimag kharab hora g
**06/02/2025, 10**: 23 pm - Vinay India: Pehle bnjata h fir pta nhi kya aajata h
**06/02/2025, 10**: 23 pm - warishayat69: manveer sir se puch lo
**06/02/2025, 10**: 23 pm - warishayat69: kia msla h
**06/02/2025, 10**: 24 pm - warishayat69: wo guide kar diengy
**06/02/2025, 10**: 24 pm - Vinay India: Hn vhi krta hoon
**06/02/2025, 10**: 24 pm - warishayat69: mujhy khud nai smj arau
**06/02/2025, 10**: 24 pm - warishayat69: arai kdr ghlti hori h
**06/02/2025, 10**: 24 pm - Vinay India: Hn
**06/02/2025, 10**: 30 pm - Vinay India: Mene boldiya manveer sir ko
**06/02/2025, 10**: 30 pm - warishayat69: stuck hogya hn
**06/02/2025, 10**: 30 pm - warishayat69: kia
**06/02/2025, 10**: 30 pm - Vinay India: Ki koi bdhiya si tutorial bhejde
**06/02/2025, 10**: 30 pm - warishayat69: acha acha
**06/02/2025, 10**: 30 pm - Vinay India: Haar baar issue fas raha hain khi na khi
**06/02/2025, 10**: 31 pm - warishayat69: yea project humse ik mahiny m b nai hoga
**06/02/2025, 10**: 31 pm - Vinay India: 🥲🥲
**06/02/2025, 10**: 32 pm - warishayat69: zoom join karte hn fir dekhte hane
**06/02/2025, 10**: 53 pm - Vinay India: Whisper model hugging face for youtube
**06/02/2025, 10**: 55 pm - warishayat69: Let me check
**06/02/2025, 11**: 00 pm - Vinay India: Muhammad toh bhaag hi gya
**06/02/2025, 11**: 01 pm - Vinay India: Mein toh kehta hoon Mrityunjay ko bhi apni team mein hi add krlo😂
**06/02/2025, 11**: 02 pm - warishayat69: han mujhy b lagra
**06/02/2025, 11**: 02 pm - warishayat69: wo ni ayega
**06/02/2025, 11**: 02 pm - warishayat69: uski maybe kahi aur job hogyi hae
**06/02/2025, 11**: 05 pm - Vinay India: Haan ho skta hain
**06/02/2025, 11**: 06 pm - warishayat69: chalo koi nai
**06/02/2025, 11**: 06 pm - Vinay India: Mein react vala krlunga kaam
**06/02/2025, 11**: 06 pm - Vinay India: Aap rag vala ache se krlo
